Company Name,TIN Number,Partners Name,Date Delivered,Account Executive,Remarks,,
ATLAS COPCO PHILS. INC.,000-412-606-000,Micro Pacific,11/18/04,CDH,,,
"AVENTUS MEDICAL CARE, INC.",007-240-516-000,Micro Pacific,2/20/23,AAA,100days overdue  - Hard to collect-,,
AYALA LAND,000-153-790-000,Micro Pacific,3/22/05,MBQ,Paid but hard to follow up and collect,,
BANZON LAW OFFICE,NOT IN FILE,NONE,NONE,NONE,CAN NOT PAY THEIR MONTHLY DUES AT LEGASPI SUITES FOR 2 YEARS ALREADY,,
BAR,NOT IN FILE,Micro Pacific,1/28/02,EAO,,,
BAX GLOBAL,NOT IN FILE,Micro Pacific,1/23/02,EVO,,,
BC NET,227-573-387-000,MicroPhase,10/10/12,SHEILA,"No funds. Very Small amount of P10,000++ only.",,
BELL TELECOM,NOT IN FILE,Micro Pacific,1/9/02,EVO,,,
BENHUR C. LAWIS c/o AFPSLAI,NOT IN FILE,MicroPhase,8/31/01,ARLEE,,,
BERKMAN,205-515-715-000,MicroPhase,6/30/08,REA,Has difficulty to pay,,
BEST CHUM,001-779-073,MicroPhase,12/18/06,Mariz,Hard to Collect,,
BF CORPORATION,043-000-096-271,MicroPhase,4/1/11,MANDY,No funds. This is Bayani Corporation sister company BF Metals still be able to pay. But proceed with caution.,,
BFD VENTURES,222-471-487-000,MicroPhase,5/31/10,Geralyn,Bounced check. Promise to pay partially.,,
BIG LEAD,NOT IN FILE,MicroPhase,4/30/10,Jay,"Bounced Check. According to client their company was used, manipulated and fooled by Bet Diaz formerly President of Virtuality.",,
BMP INTERNATIONAL,225-334-890,MicroPhase,4/30/07,Carlo,BOUNCED CHECK WILL PROMISE TO PAY IN CASH,,
BRIDGEWAY COMMUNICATION SYSTEM INC.,007-898-219-000,Micro Pacific,2/26/14,CPT,Bounced check - Still for collection,,
BRIGHTPOINT,005-202-014-000,Micro Pacific,11/4/04,RGP,,,
BRITTANY CORPORATION,001-702-316-000,Micro Pacific,3/10/17,ASS,"Original invoice was misplaced by client .  They are also hard to contact,   we sent  CTC copy but still on process at its already more than 100 days",,
BROADBAND,004-514-945-000,Micro Image,9/30/04,AMR,Staggered payment but willing to pay interest,,
BUREAU VERITAS SA,003-463-419-000,Micro Pacific,12/13/19,JAV,HARD TO COLLECT - LONG PROCESSING OF PAYMENT,,
CABALEN,004-742-622,Micro Pacific,11/5/04,RGA,,,
CAINE & OLSWICK INC.,233-470-716-000,Micro Pacific,12/1/04,MML,,,
CALBAYOG,NOT IN FILE,Micro Image,4/24/04,JVG,,,
CALYPSO,206-753-904-000,NONE,NONE,NONE,CAN NOT PAY THEIR MONTHLY DUES AT LEGASPI SUITES FOR 1 YEAR ALREADY,,
CB RICHARD ELLIS,201-626-570-000,MicroPhase,3/15/05,JIMMY,HARD TO COLLECT,,
CCP,000-359-120-000,Micro Image,12/9/10,JMS,HARD TO COLLECT,,
CELLPAWNSHOP,NOT IN FILE,Thru WSI,11/21/08,NA,Big time Swindler,,
CENTURY OFFICE EQUIPMENT TRADING,181-453-252-000,Micro Pacific,10/4/16,JRD,Requested extension of PDC check for another 5 days. After 5 days replacement check bounced due to Insufficient Fund,,
CENTURY PROPERTY,NOT IN FILE,Micro Pacific,10/19/01,KRB,,,
CEVERA TECHNOLOGY GROUP,221-652-537-000,MicroPhase,1/31/07,JIMMY,NO FUNDS ,,
CGO GENERAL MERCHANDISE,238-628-249-000,MicroPhase,10/31/05,CORA,NO MONEY,,
CHE CORP.,NOT IN FILE,Micro Pacific,1/24/02,EDJ,,,
CIGI,NOT IN FILE,MicroPhase,8/25/00,JOSEPH,,,
CINERGI INDUSTRIAL SOLUTIONS INC,008-440-732-001,Micro Pacific,1/1/18,JBL,Pending payment due to Funding. They based on their collection for payment. Client sent as proposal of payment.,,
CIRCULAR PARADIGM FASHION INC ,009-126-290-000,Micro Pacific,6/25/21,IDR,Hard to Collect / Problem of Funding due to Pandemic,,
CIS MERALCO,NOT IN FILE,Micro Image,12/18/01,RVB,,,
CITICORP,NOT IN FILE,MicroPhase,11/8/01,JEAN,,,
CITIHOMES BUILDER AND DEVELOPMENT  INC.,000-444-767-000,Micro Pacific,3/26/09,CDN,Paid but hard to collect because of problem on funding.,,
"CITYSTATE TOWER HOTEL, INC.",005-340-474-000,Micro Pacific,3/9/09,CAC,"Hard to follow up, not yet paid because of problem on P.O.",,
CJT BUILDERS,207-079-573-000,MicroPhase,3/31/11,MARIFE,"With 2 histories of bouncing checks. Still cannot settle the last check of P11,707.50 until today.",,
C-LOGIC,NOT IN FILE,MicroPhase,1/28/00,ETHEL,,,
COGNITIVE IT SOLUTIONS,243-685-434-000,MicroPhase,7/31/12,MIGGY,Returned Checks - Company is about to close because the GM and Finance Manager embezzeled the funds.,,
CONSOLIDATED DISTILLERS,NOT IN FILE,Micro Image,1/10/05,NRB,Paid but hard to collect,,
COPYLANDIA,NOT IN FILE,MicroPhase,10/10/01,ENGR,,,
CROWN ASIA,NOT IN FILE,MicroPhase,11/28/01,ENGR,,,
CROWN SYSTEM,228-843-754-000,MicroPhase,3/15/05,JOY UY,HARD TO COLLECT,,
CULTURAL CENTER OF THE PHILS,NOT IN FILE,Micro Image,1/31/01,RMR,Paid but hard to collect,,
CV COM COMPUTERS,161-006-954-000,Micro Image,1/2/03,ERB,,,
DAELO COMTECH,232-324-075-000,MicroPhase,8/31/07,MIKE,"ISSUED BOUNCING CHECK - P200,000.00.  DEPOSITED ONLY P100,000.00, NO DEFINITE DATE OF COMPLETION OF PAYMENT",,
DANZAS INTERCON,NOT IN FILE,MicroPhase,1/28/02,JANE,,,
DATACRAFT OPSIS,NOT IN FILE,MicroPhase,12/1/04,MARIFE,,,
DATEM CONST.,NOT IN FILE,Micro Pacific,6/21/01,RGS,,,
DDC LAND,001-698-821-000,Micro Pacific,12/20/12,PJP,Paid but hard to collect because of funding,,
DEPT OF FOREIGN AFFAIRS,330-000-791-456,Micro Pacific,12/14/01,EDJ,,,
DEPT OF HEALTH,NOT IN FILE,Micro Pacific,1/18/02,BMP,,,
DERM PHARMA,NOT IN FILE,Micro Image,6/23/03,AER,Paid but hard to collect,,
DESIGN SCIENCE,NOT IN FILE,Micro Image,11/27/00,ACB,Paid but hard to collect,,
DIRECT WITH HOTELS,254-972-777-000,Micro Image,2/5/20,TAJ,"International company but will close and process legally ; TAJ already resolved overdue A/R of P5,880.00 (memory)",,
DISC Q TECH,NOT IN FILE,MicroPhase,12/1/04,RIZA,,,
DIVERSIFIED SOLUTIONS,226-620-286-000,MicroPhase,2/1/05,MITCH,REQUESTED 6 MONTHS STAGGARED PAYMENT,,
DM CONSUNJI,000-341-915-000,Micro Pacific,6/9/05,JPS,Paid but hard to follow up-Acctng based counting for terms once invoice forwarded to them-not considering the date of delivery.,,
DON BOSCO TECHNICAL INSTITUTE,000-450-347,Micro Pacific,7/5/06,JCB,Hard to follow up always overdue- still cannot commit when to start processing of payment-docs are still on queue for processing,,
DOWELL CONTAINER,NOT IN FILE,Micro Image,10/23/01,JCA,Paid but hard to collect,,
DOWNTOWN INTERNET CAFÉ,NOT IN FILE,Micro Image,8/7/06,JVG,Partially paid; Remittance of payment from his partner abroad was delayed,,
DRAGONHART CONSTRUCTION ENT. INC.,233-083-967-00000,Micro Image,4/4/23,ABG,"Client is RCBC Leasing & Finance Corporation leased to Dragonhart Construction Enterprises, Inc. fully paid by RCBC but Dragonhart has unreasonable demands and filed for legal case claims so please beware of this client",,
DRUGMAKERS LABORATORIES INC.,000-409-618-000,Micro Pacific,3/2/06,MML,Hard to follow up-waiting for their remittance before scheduling the process of payment-long processing-not yet settle until now,,
DUTY FREE PHILS,NOT IN FILE,Micro Pacific,11/28/01,EAO,,,
DYNATECH,NOT IN FILE,NORTHGATE,11/1/05,GREEDY BOY,Regional Office hold all payables and possible closure due to HUGE under the table transaction discovered,,
EAST BAY RESORT,234-854-592-000,Micro Image,12/16/05, JCA ,Hard to collect ; their overused alibi is LOST INVOICE everytime it's due for collection so we always have to issue certified true copy.,,
EASTMART TECHNOLOGY INNOVATORS INC.,010-331-563-000,Micro Image,1/31/23, SOM ,Client  is cooperative but their cash flow is tight due to collectibles from govt. accounts PDEA & QC LGU,,
EBDI,208-323-723-000,Micro Image,8/4/10, RTC ,Client paid partially /Hard to collect because their client LTO has not paid them yet.,,
ED MESIA/EMERALD GARMENTS,008-013-008-000,Micro Image,10/30/18, JMS ,Payment delayed for almost one year due to client problem (space unavailability). Did not conforme with the terms of payment.,,
ELECTRO SYSTEM INDUSTRIES,000-160-431-000,Micro Image,3/28/11,JTO,HARD TO COLLECT,,
"ELECTROBUS CONSOLIDATED, INC",301-000-390-809,Micro Pacific,3/10/09,CDN,Their check bounced and closed their bank account. Check was not yet replaced as of May 04.,,
EMILIO AGUINALDO,NOT IN FILE,MicroPhase,4/16/01,JOSEPH,,,
EMPIRE EAST LAND HOLDINGS,003-942-108,Micro Image,10/14/04,NRB,109 days still unpaid,,
ENERGY & AVIATION,NOT IN FILE,MicroPhase,2/1/03,JIMMY,,,
ENERGY WORLD PHILIPPINES INC,202-620-904-000,Micro Pacific,1/24/17,CPT,Long term of processing of payment due to signatories based from Hongkong,,
"ENERTECH SYSTEMS INDUSTRIES, INC.",000-372-708-VAT,Micro Pacific,11/17/04,ENG'G,Hard to collect,,
ENVIRONMENTAL COMPLIANCE CONSULTANTS INTL CORP - ECCI,005-342-522-000,Micro Pacific,12/27/17,CMZ,Problem on Funding - Client send a letter proposal for staggered payment ,,
ENV'T COLLABORATIVE,NOT IN FILE,MicroPhase,11/23/01,JOSEPH,,,
EON (EVENTS ORGANIZER NETWORK) INC.,201-342-441-000,Micro Pacific,5/15/17,SAR,Hard to collect due to long processing,,
ERGO  CONTRACTS PHILS INC,003-925-308-000,Micro Pacific,5/3/17,ACO/ELC/RBP,Hard to collect - Always for signature - Checks already processed but it takes up to 1 mon after due date to sign,,
ESCA,000-158-672-000,Micro Image,10/7/05, JCA ,Not complying with payment terms,,
EUGENIO CO aka Eugenio Ibanez,NOT IN FILE,Thru WSI,11/21/08,NA,Big time Swindler,,
EUROPEAN CHAMBER OF COMM.,NOT IN FILE,MicroPhase,3/1/03,JOSEPH,,,
EVER GROUP,NOT IN FILE,MicroPhase,5/16/01,JOSEPH,,,
EVI DISTRIBUTION INC,219-155-811-000,Micro Pacific,7/20/20,JGS,Hard to collect / Long processing of payment - 102days due,,
EVOLUTION WELLNESS PHILIPPINES INC,201-135-912-000,Micro Pacific,3/10/20,SDB,Long processing of payment / Strictly based on counter date - overdue 234days,,
EXCELLENT INFO,NOT IN FILE,MicroPhase,1/1/03,JOSEPH,,,
EXDECON DESIGN AND CONSTRUCTION,920-985-609-000,Micro Pacific,8/8/13,FTO,"Bounced Check. Still for Collection, waiting for fund",,
EXIST EXHIBIT SYSTEMS TECH COR,244-418-835-000,Micro Pacific,4/30/15,LMF,Check bounced twice due to insufficient fund and paid only last 06/19. ,,
EXPERIENTAL COMMUNICATIONS INTEGRATING TRADE AND EVENTS INC ( EXCITE INC ),237-048-548-000,Micro Pacific,2/10/16,JRC,Very hard to collect -  staggered payment not all overdue released /confirmation of collection Friday 4:00pm only  then collection time 4:30 to 6pm only/ Always need special collector/standby collector - Run from Makati to Quezon City or the standby collector will wait for the confirmation.,,
EXPERTELLIGENT ,NOT IN FILE,MicroPhase,5/26/00,ETHEL,,,
EXPRESSION PAPER,290-000-840-766,Micro Pacific,8/13/04,RRL,,,
F2 LOGISTICS PHILIPPINES INC,245-477-210-000,Micro Pacific,2/4/16,SAR,Very hard to collect - always on process / 1 invoice per week / every other week,,
"FABMIK CONSTRUCTION & EQUIPMENT CO., INC.",005-648-607-000,MicroPhase,12/31/16,DOS,"Amount of A/R is P105,100.00. Only P30,000 paid only. Still waiting for funds. Supervisor and AE will demand to Client to pay P10,000 weekly until it will be settled.",,
FEDDERS KOPPEL INC,000-409-482-000,Micro Pacific,3/17/05,RSG,Paid but hard to collect because of funding,,
FEDERAL LAND,005-029-196-000,Micro Pacific,1/31/05,EAO,Hard to collect,,
FEDEX,NOT IN FILE,Micro Image,10/25/00,JVG,Paid but hard to collect,,
FF CRUZ,NOT IN FILE,MicroPhase,12/1/04,JOY,,,
FHI TB INNOVATIONS AND HEALTH SYSTEMS STRENTHENING PROJECT/PHILS.,212-503-913-000,Micro Image,7/3/20,PDC,"Feedback from UK taking too long to collect P60,000 …. Used to be a good account and payor before.",,
FILINVEST LAND,000-533-224-000,Micro Pacific,10/6/04,EEC,Paid but hard to collect,,
FINECO MANAGEMENT CORP,008-551-229-001,Micro Pacific,4/30/16,CAD,Unreleased check due to lack of fund,,
FIRST PHILEC SOLAR CORP,006-901-402,MicroPhase,9/30/12,Crisbelle,Company have temporarily stop their operations. They will resume their operation this November according to them.,,
FIRST PILIPINAS POWER & AUTOMATION INC,007-009-051-000,Micro Pacific,9/20/16,RZB,1st check bounced then replaced. Replacement check bounced again twice due insufficient fund,,
FISHER ROSEMOUNT ,231-292-492-000,Micro Image,9/7/04,NRB,Paid but more than 60 days terms /affiliate of Astech,,
FNSP PHILS.,NOT IN FILE,Micro Pacific,1/23/02,KRB,,,
FORD EDSA,004-632-072-000,Micro Pacific,10/5/04,EAO,Paid but hard to collect,,
FORD MAKATI,NOT IN FILE,Micro Pacific,11/22/01,CSJ,,,
FORD SHAW,228-362-547-000,Micro Pacific,10/5/04,EAO,Paid but hard to collect,,
FOXRUN,NOT IN FILE,Micro Image,7/16/01,ERB,,,
"FURNITALIA GRUPPO MOBILI, INC.",213-677-574-000,Micro Pacific,8/31/07,RRL,Hard to follow up still for process with AP-carren,,
GAGELZ INTERNET CAFÉ,240-589-479-000 ,MicroPhase,09/30/09,REA,ISSUED A PDC AFTER ACCT. BECAME LONG OVERDUE AND THEN REQUESTED TO MOVE DEPOSIT OF THE CHECK BUT STILL BOUNCED UPON DEPOSIT.,,
GALEO SOUTH PACIFIC LIMITED,501-000-343,Micro Pacific,4/30/19,CDN,BOUNCED CHECK,,
G-COSMOS,NOT IN FILE,MicroPhase,10/16/01,ARN,,,
GENERAL ELECTRIC PHILS INC,000-121-766-000,Micro Pacific,7/6/06,KAB,Always late payment-Pending to contact person who is on leave for almost 2months still do not forward docs to accntg,,
GENERAL MILLING,NOT IN FILE,MicroPhase,12/19/01,ARLEE,,,
GERRY'S GRILL GROUP OF RESTAURANTS,005-139-780-000,Micro Pacific,2/9/05,EAO,Hard to collect,,
GMA 7,NOT IN FILE,Micro Image,11/10/00,ACC,Paid but hard to collect,,
GOLDEN HANA CORPORATION,007-239-338-000,MicroPhase,3/27/14,ROWENA,BOUNCED CHECK AND NO REPLACEMENT UNTIL NOW.,,
GOODYEAR,NOT IN FILE,Micro Image,10/16/01,JVG,Paid but hard to collect,,
GREEN FUTURE INNOVATIONS INC,006-922-063-000,Micro Pacific,1/30/19,SBE,PAID BUT HARD TO COLLECT - PENDING DUE TO DOCUMENTS PROCESSED FROM THEIR PROVINCIAL BRANCH,,
GREENFIELD DEVELOPMENT CORPORATION,000-122-954-000,Micro Pacific,6/5/15,ELC,Very hard to follow up & collect.,,
GREENSTONE RESOURCES CORPORATION,223-913-563-000,Micro Pacific,5/24/23,MTU,HARD TO COLLECT,,
GRID FINANCIAL,007-321-776-000,Micro Image,11/4/10,CMN,Tight cash flow because Grid Financial did not agree on the exchange rate of their client in Sudan Africa.,,
GROUP 4 FALCK PHILS,208-631-080,Micro Pacific,2/25/05,EEC,Paid but hard to collect because of funding,,
GROUP 4 SYSTEMS,005-376-058,Micro Pacific,2/11/05,EEC,Hard to collect,,
GROUP 5 AUDIO VISUAL SYSTEMS CORPORATION,005-340-352-000,Micro Pacific,4/30/19,SDB,BOUNCED CHECK - TWICE,,
GROUP OF COMPANIES - GLOBAL-ESTATE RESORTS INC ,000-426-523-000,Micro Pacific,9/12/18,JMB,Group of Companies - 233days - Super hard to collect. Even w/ check already still waiting for release due to Internal requirements of procurement and not allowed to follow up directly to their accounting. ,,
GTVL,NOT IN FILE,Micro Pacific,10/29/01,RCS,,,
GU TRADING (GIO M GIO),900-241-760-000,Micro Image,7/12/10,ENGR/HNH,"Paid partially, with PDC but Hard to collect",,
HEALTHWAY,211-577-944-000,Micro Image,6/26/01,RMR,,,
HEALTHY  FAMILY PURIFIED DRINKING WATER/MANILA WATER TOTAL SOLUTIONS,007-092-956-000,Micro Pacific,,SAR,"Unauthorized transaction by their Purchasing Officer,  Hyasmin Villanueva",,
HERTFORD CONSULTING,211-577-944-000,Micro Image,1/25/06,CCS,Long wait for International Funding,,
IASIA ,005-575-616-000,Micro Image,1/12/05,ACC,FS is okay to banks but account is shaky…No more outstanding with us,,
IBC 13,NOT IN FILE,Micro Image,12/19/00,AIC,,,
IBM PLAZA CONDOMINUM ASSOCIATION INC,210-456-904-000,Micro Pacific,10/10/13,BAA,First Oceanic Group of Companies - Hard to collect due to long processing,,
ICCP VENTURES PARTNERS INC - GROUP OF COMPANIES ( ICCP / ICCP VENTURES / PUEBLO DE ORO,000-160-933-000,Micro Pacific,5/2/19,JCN,30DAYS TERM - 63DAYS DUE - HARD TO COLLECT / STAGGERED PAYMENT,,
ILOILO PDS AND LABORATORY CENTER INC,009-664-554-000,Micro Pacific,11/21/18,JPL,Bounced due to DAIF (Drawn Against Insufficient Fund),,
INTELLIGENT BEAUTY SKIN SOLUTIONS INC.  /  Genevie Coniconde Sarian  ( Purchaser),007-275-825-000,Micro Pacific,7/9/24,KCM,ICT staff used Belo's PO for her personal order and resale it to Vira Mall clients,,
IMART,NOT IN FILE,MicroPhase,6/1/03,HYDEE,,,
IMMEQUIRE,NOT IN FILE,MicroPhase,12/1/02,ONIN,,,
INDORAMA VENTURES PACKAGING (PHILIPPINES) CORP,008-628-821-000,Micro Pacific,3/22/23,DFB,84days overdue  -Hard to collect,,
INFORMATICS -HEAD OFC,NOT IN FILE,Micro Pacific,4/25/01,RCA,,,
INFOSCAPE,NOT IN FILE,Micro Image,4/26/01,RMP,Paid but hard to collect,,
INFOTECH,NOT IN FILE,Micro Image,12/11/00,AIC,Paid but hard to collect,,
"INK FOR LESS PRO SERVICES, INC./ INK FOR LESS/ PRINTER FOR LESS",007-339-688-000,Micro Pacific,03/22/11,ABM,PDC 30 TRANSACTION BUT CLIENT CLAIMED FOR 30 DAYS TERMS. VERY HARD TO FOLLOW UP,,
INSTANT PC,189-300-752-000,MicroPhase,12/3/04,MICHELLE,Hard to collect,,
INTEGRATED AUTOMATION AND CONTROL SOLUTIONS INC,007-144-987-000,Micro Pacific,7/18/19,ACO,30days term - 102days overdue  due to funding,,
INTERNATIONAL GRADUATE SCHOOL OF LEADERSHIP,002-276-082-000,Micro Pacific,11/11/14,MDP,INSUFFICIENT FUND due to old check account issued  ( check re-deposit ),,
INTEX HOLDINGS CORPORATION,005-026-839-000,Micro Pacific,3/2/06,CDH,Very very hard to follow up-always hung me on the line-w/ problem on funding-always for sign check,,
INVESTMENT AND CAPITAL CORPORATION OF THE PHILS - GROUP OF COMPANIES ( ICCP / ICCP VENTURES / PUEBLO DE ORO,006-507-023-000,Micro Pacific,2/27/19,JCN,30DAYS TERM - 127DAYS DUE - HARD TO COLLECT / STAGGERED PAYMENT,,
IP ENTERPRISE,NOT IN FILE,Micro Pacific,5/30/01,KRB,,,
I-SYSTEMS,214-97-463-000,Microphase,4/1/11,Marilyn,Hard to Collect. Sister company of Electrosystem and Jaguar Phils.,,
IT PLUS NET COMPUTER,161-061-595-000,Micro Image,4/30/07,AMS,Partially paid; Experiencing tight cash flow ; Owned by Weng Villanueva - former employee of Micro Image & Micro Pacific),,
IT WORKS,NOT IN FILE,Micro Image,10/26/01,JVG,,,
ITECH,NOT IN FILE,MicroPhase,6/1/02,WHALO,,,
ITOUCHPOINT,219-927-355,Micro Pacific,8/20/04,MVC,Paid but hard to collect because of funding,,
J & L ELECT,NOT IN FILE,MicroPhase,5/2/00,AVIC,,,
JARL ENTERPRISE,NOT IN FILE,Micro Pacific,2/23/01,KRB,,,
JAVLON INTL. PHILS,NOT IN FILE,Micro Image,7/31/00,LAA,,,
JCMB,304-812-224-000,Micro Image,2/20/03,OMP,,,
JGR COMPUTER & CAD CENTER,149-897-407-000,Micro Image,2/14/05,RTC,"Paid PDC check for deposit July 9,2005",,
JIGS JUQUINA/MFI,NOT IN FILE,Micro Image,12/14/01,ENG,,,
JOHN GLOBO TRADE DEV'T. CORP.,252-134-610-000,Micro Image,10/26/07,ADU,Company name used by Syndicates,,
KEDU INTERNET CAFÉ,233-343-697-000,Micro Image,6/9/06,RMN,Habitual issuance of Bouncing Checks (DAIF and Closed Account),,
KEDU ROLLING GOODS TRADING,233-343-697-000,Micro Image,6/9/06,RMN,Habitual issuance of Bouncing Checks (DAIF and Closed Account),,
KEPCO ILIJAN CORPORATION,005-578-576-000,Micro Pacific,4/15/05,RGP,Paid but hard to follow up and collect-w/ long processing of payment,,
KINGCOM TELECOM,203-773-779-000,Micro Pacific,6/2/05,JPS,Paid w/ 30days term but issued PDC for 60days term- unable to change date of check,,
"KMC MAG SOLUTIONS INC,/ APEX NET INC.",007-930-327-000,Micro Image,7/31/19,EPS,Group of Companies - Hard to collect even if amount is too small ; dependent on their clients payment,,
KOUBERT,009-523-926-000,Micro Image ,5/18/19,PCD,Issued bounced checks several times - DAIF.,,
KREZA,NOT IN FILE,MicroPhase,6/1/03,JOYCE,,,
L&M MAXCO,NOT IN FILE,MicroPhase,1/11/01,JGD,,,
LA CROESUS,001-523-383-000,Micro Pacific,9/12/04,EAO,Paid but hard to collect because of funding,,
LAKPUE DRUG ,000-184-498-040,Micro Pacific,9/12/04,EAO,Paid but hard to collect because of funding,,
LAN LOGIC COMPUTER SALES,173-118-472-000,MicroPhase,2/13/15,JGA,Returned Check - after giving 6 weeks extension from the date of PDC (03/18/15),,
LARES,NOT IN FILE,Micro Pacific,1/10/02,JLC,,,
LBC EXPRESSS,205-676-956-000,Micro Pacific,10/27/04,PFD,Paid but hard to collect,,
LEGASPI OIL,000-162-683-000,Micro Pacific,9/23/05,MVC,Paid but hard to collect,,
LIMESEN NETWORK SOLUTIONS INC,009-305-305-000,Micro Pacific,2/23/19,SDB,COD - Bounced due to DAIF (Drawn Against Insufficient Fund),,
LINAHEIM CORPORATE SERVICES INC.,000-127-991-000,Micro Pacific,3/1/06,CDH,Hard to follow up-long processing of payment-Not yet settle until now. First transaction.,,
LISP II LOCATORSASSOCIATIONINC - GROUP OF COMPANIES ( ICCP / ICCP VENTURES / PUEBLO DE ORO,218-433-751-000,Micro Pacific,4/10/19,JCN,30DAYS TERM - 112DAYS DUE - HARD TO COLLECT/ NO PROBLEMS ON DOCS,,
LIZARDBEAR TASKING INC,008-990-543-0000,Micro Pacific,6/30/16,CAD,"Small amount but hard to contact , no landline follow up thru email only but late reponse",,
